Id	Form	Lemma	UPosTag	XPosTag	Feats	Head	DepRel	Deps	Misc
422	общем	общем	ADV	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	423	amod	_	@fai1992m-words#@fai1992m#1347.592#1347.889
423	рэп	рэп	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	419	conj	_	@fai1992m-words#@fai1992m#1347.889#1348.187
424	русский	русский	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	425	amod	_	@fai1992m-words#@fai1992m#1348.717#1348.985
425	андерграунд	андерграунд	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	423	appos	_	@fai1992m-words#@fai1992m#1348.985#1349.254
426	и	и	CCONJ	_	_	429	cc	_	@fai1992m-words#@fai1992m#1349.254#1349.522
427	вообще	вообще	ADV	_	Degree=Pos	429	obl	_	@fai1992m-words#@fai1992m#1349.522#1349.791
428	русская	русский	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	429	amod	_	@fai1992m-words#@fai1992m#1349.791#1350.059
429	музыка	музыка	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	425	conj	_	@fai1992m-words#@fai1992m#1350.059#1350.328
430	/	/	PUNCT	_	_	437	punct	_	@fai1992m-words#@fai1992m#1350.328#1350.596
431	вот	вот	PART	_	_	432	advmod	_	@fai1992m-words#@fai1992m#1350.596#1350.865
432	именно	именно	PART	_	_	433	advmod	_	@fai1992m-words#@fai1992m#1350.865#1351.134
433	эээ	эээ	INTJ	_		437	obl	_	@fai1992m-words#@fai1992m#1351.134#1351.402
434	то	то	PART	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	437	nsubj	_	@fai1992m-words#@fai1992m#1351.402#1351.671
435	что	что	SCONJ	_	Case=Nom	434	fixed	_	@fai1992m-words#@fai1992m#1351.671#1351.939
436	было	быть	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	437	cop	_	@fai1992m-words#@fai1992m#1351.939#1352.208
437	популярно	популярно	ADV	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	429	obl	_	@fai1992m-words#@fai1992m#1352.208#1352.476
438	в	в	ADP	_	_	439	case	_	@fai1992m-words#@fai1992m#1352.476#1352.745
439	Москве	Москва	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	437	obl	_	@fai1992m-words#@fai1992m#1352.745#1353.013
440	тогда	тогда	ADV	_	Degree=Pos	437	advmod	_	@fai1992m-words#@fai1992m#1353.013#1353.282
441	и	и	CCONJ	_	_	449	cc	_	@fai1992m-words#@fai1992m#1353.282#1353.551
442	в	в	ADP	_	_	443	case	_	@fai1992m-words#@fai1992m#1353.551#1353.819
443	России	Россия	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	449	obl	_	@fai1992m-words#@fai1992m#1353.819#1354.088
444	вот	вот	PART	_	_	445	advmod	_	@fai1992m-words#@fai1992m#1354.088#1354.356
445	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	449	nsubj	_	@fai1992m-words#@fai1992m#1354.356#1354.625
446	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	449	iobj	_	@fai1992m-words#@fai1992m#1354.625#1354.893
447	всё	весь	DET	_	Case=Acc|Gender=Neut|Number=Sing	446	det	_	@fai1992m-words#@fai1992m#1354.893#1355.162
448	это	это	DET	_	Case=Acc|Gender=Neut|Number=Sing	449	obj	_	@fai1992m-words#@fai1992m#1355.162#1355.431
449	просвещал	просвещать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	437	conj	_	@fai1992m-words#@fai1992m#1355.431#1355.699
450	потому	потому	ADV	_	Degree=Pos	457	mark	_	@fai1992m-words#@fai1992m#1355.699#1355.968
451	что	что	SCONJ	_	_	450	fixed	_	@fai1992m-words#@fai1992m#1355.968#1356.236
452	у	у	ADP	_	_	454	case	_	@fai1992m-words#@fai1992m#1356.236#1356.505
453	по-моему	по-моему	ADV	_	Degree=Pos	454	obl	_	@fai1992m-words#@fai1992m#1356.505#1356.773
454	меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	457	obl	_	@fai1992m-words#@fai1992m#1356.773#1357.042
455	тогда	тогда	ADV	_	Degree=Pos	457	advmod	_	@fai1992m-words#@fai1992m#1357.042#1357.31
456	не	не	PART	_	_	457	advmod	_	@fai1992m-words#@fai1992m#1357.31#1357.579
457	было	быть	VERB	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	449	advcl	_	@fai1992m-words#@fai1992m#1357.579#1357.848
458	компьютера	компьютер	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	457	nsubj	_	@fai1992m-words#@fai1992m#1357.848#1358.116
459	/	/	PUNCT	_	_	460	punct	_	@fai1992m-words#@fai1992m#1358.116#1358.385
460	вот	вот	PART	_	_	458	parataxis	_	@fai1992m-words#@fai1992m#1358.385#1358.653
461	/	/	PUNCT	_	_	460	punct	_	@fai1992m-words#@fai1992m#1358.653#1358.922
462	и	и	CCONJ	_	_	464	cc	_	@fai1992m-words#@fai1992m#1358.922#1359.19
463	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	464	nsubj	_	@fai1992m-words#@fai1992m#1359.19#1359.459
464	ходил	ходить	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	437	conj	_	@fai1992m-words#@fai1992m#1359.459#1359.727
465	сидел	сидеть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	437	conj	_	@fai1992m-words#@fai1992m#1359.727#1359.996
466	в	в	ADP	_	_	467	case	_	@fai1992m-words#@fai1992m#1359.996#1360.265
467	интернете	интернет	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	465	obl	_	@fai1992m-words#@fai1992m#1360.265#1360.533
468	в	в	ADP	_	_	469	case	_	@fai1992m-words#@fai1992m#1360.533#1360.802
469	кабинете	кабинет	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	465	obl	_	@fai1992m-words#@fai1992m#1360.802#1361.07
470	информатики	информатика	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	469	nmod	_	@fai1992m-words#@fai1992m#1361.07#1361.339
471	/	/	PUNCT	_	_	473	punct	_	@fai1992m-words#@fai1992m#1361.339#1361.607
472	в	в	ADP	_	_	473	case	_	@fai1992m-words#@fai1992m#1361.607#1361.876
473	школе	школа	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	465	obl	_	@fai1992m-words#@fai1992m#1361.876#1362.145
474	вот	вот	PART	_	_	473	advmod	_	@fai1992m-words#@fai1992m#1363.029#1363.47
475	/	/	PUNCT	_	_	476	punct	_	@fai1992m-words#@fai1992m#1363.47#1363.912
476	поэтому	поэтому	ADV	_	Degree=Pos	437	conj	_	@fai1992m-words#@fai1992m#1363.912#1364.353
477	/	/	PUNCT	_	_	476	punct	_	@fai1992m-words#@fai1992m#1364.353#1364.795
478	я…	я	PRON	_	_	482	punct	_	@fai1992m-words#@fai1992m#1364.795#1365.237
479	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	480	nsubj	_	@fai1992m-words#@fai1992m#1365.237#1365.678
480	встречались	встречаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	482	parataxis	_	@fai1992m-words#@fai1992m#1365.678#1366.12
481	/	/	PUNCT	_	_	480	punct	_	@fai1992m-words#@fai1992m#1366.12#1366.561
482	читали	читать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	476	parataxis	_	@fai1992m-words#@fai1992m#1366.561#1367.003
483	/	/	PUNCT	_	_	484	punct	_	@fai1992m-words#@fai1992m#1367.003#1367.445
484	рисовали	рисовать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	482	conj	_	@fai1992m-words#@fai1992m#1367.445#1367.886
485	/	/	PUNCT	_	_	487	punct	_	@fai1992m-words#@fai1992m#1367.886#1368.328
486	и	и	CCONJ	_	_	487	cc	_	@fai1992m-words#@fai1992m#1368.328#1368.769
487	тусовались	тусоваться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	482	conj	_	@fai1992m-words#@fai1992m#1368.769#1369.211
488	и	и	CCONJ	_	_	491	advmod	_	@fai1992m-words#@fai1992m#1369.211#1369.653
489	в	в	ADP	_	_	491	case	_	@fai1992m-words#@fai1992m#1369.653#1369.94
490	какой-то	какой-то	PRON	_	Case=Acc|Gender=Masc|Number=Sing	491	det	_	@fai1992m-words#@fai1992m#1369.94#1370.227
491	момент	момент	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	498	obl	_	@fai1992m-words#@fai1992m#1370.227#1370.515
492	эээ	эээ	INTJ	_		491	flat:foreign	_	@fai1992m-words#@fai1992m#1370.519#1370.938
493	/	/	PUNCT	_	_	492	punct	_	@fai1992m-words#@fai1992m#1370.938#1371.358
494	короче	коротко	ADV	_	Degree=Cmp	498	advmod	_	@fai1992m-words#@fai1992m#1371.358#1371.778
495	очень	очень	ADV	_	Degree=Pos	496	advmod	_	@fai1992m-words#@fai1992m#1371.778#1372.198
496	неожиданно	неожиданно	ADV	_	Degree=Pos	498	advmod	_	@fai1992m-words#@fai1992m#1372.198#1372.618
497	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	498	nsubj	_	@fai1992m-words#@fai1992m#1372.618#1373.038
498	погиб	погибнуть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	487	conj	_	@fai1992m-words#@fai1992m#1373.038#1373.457
499	и	и	CCONJ	_	_	503	cc	_	@fai1992m-words#@fai1992m#1373.457#1373.877
500	потому	потому	ADV	_	Degree=Pos	503	mark	_	@fai1992m-words#@fai1992m#1373.877#1374.297
501	что	что	SCONJ	_	_	500	fixed	_	@fai1992m-words#@fai1992m#1374.297#1374.717
502	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	503	nsubj	_	@fai1992m-words#@fai1992m#1374.717#1375.137
503	лежал	лежать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	498	advcl	_	@fai1992m-words#@fai1992m#1375.137#1375.557
504	/	/	PUNCT	_	_	505	punct	_	@fai1992m-words#@fai1992m#1375.557#1375.976
505	ммм	мм	INTJ	_		503	obl	_	@fai1992m-words#@fai1992m#1375.976#1376.396
506	/	/	PUNCT	_	_	510	punct	_	@fai1992m-words#@fai1992m#1376.396#1376.816
507	в	в	ADP	_	_	508	case	_	@fai1992m-words#@fai1992m#1376.816#1377.236
508	общем	общем	ADV	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	510	parataxis	_	@fai1992m-words#@fai1992m#1377.236#1377.656
509	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	510	nsubj	_	@fai1992m-words#@fai1992m#1377.656#1378.076
510	вывихнул	вывихнуть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	503	xcomp	_	@fai1992m-words#@fai1992m#1378.076#1378.495
511	ногу	нога	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	510	obj	_	@fai1992m-words#@fai1992m#1378.495#1378.915
512	/	/	PUNCT	_	_	514	punct	_	@fai1992m-words#@fai1992m#1378.915#1379.335
513	и	и	CCONJ	_	_	514	cc	_	@fai1992m-words#@fai1992m#1379.335#1379.755
514	лежал	лежать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	510	conj	_	@fai1992m-words#@fai1992m#1379.755#1380.175
515	эээ	эээ	INTJ	_		514	advmod	_	@fai1992m-words#@fai1992m#1380.175#1380.595
516	лежал	лежать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	515	advcl	_	@fai1992m-words#@fai1992m#1380.595#1381.014
517	дома	дом 	NOUN	_	Degree=Pos	516	advmod	_	@fai1992m-words#@fai1992m#1381.014#1381.434
518	долго	долго	ADV	_	Degree=Pos	516	advmod	_	@fai1992m-words#@fai1992m#1381.434#1381.854
519	/	/	PUNCT	_	_	520	punct	_	@fai1992m-words#@fai1992m#1381.854#1382.274
520	месяц	месяц	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	516	obl	_	@fai1992m-words#@fai1992m#1382.274#1382.694
521	/	/	PUNCT	_	_	522	punct	_	@fai1992m-words#@fai1992m#1382.694#1383.114
522	вот	вот	PART	_	_	525	advmod	_	@fai1992m-words#@fai1992m#1383.114#1383.533
523	/	/	PUNCT	_	_	524	punct	_	@fai1992m-words#@fai1992m#1383.533#1383.953
524	лежал	лежать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	525	advcl	_	@fai1992m-words#@fai1992m#1383.953#1384.373
525	ходил	ходить	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	516	conj	_	@fai1992m-words#@fai1992m#1384.373#1384.793
526	туда-сюда	туда-сюда	ADV	_	Degree=Pos	531	advmod	_	@fai1992m-words#@fai1992m#1384.793#1385.213
527	потом	потом	ADV	_	Degree=Pos	531	advmod	_	@fai1992m-words#@fai1992m#1385.213#1385.633
528	в	в	ADP	_	_	530	case	_	@fai1992m-words#@fai1992m#1385.633#1386.052
529	какой-то	какой-то	PRON	_	Case=Acc|Gender=Masc|Number=Sing	530	det	_	@fai1992m-words#@fai1992m#1386.052#1386.472
530	момент	момент	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	531	obl	_	@fai1992m-words#@fai1992m#1386.472#1386.892
531	пошел	пойти	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	525	conj	_	@fai1992m-words#@fai1992m#1386.892#1387.312
532	чистить	чистить	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	531	xcomp	_	@fai1992m-words#@fai1992m#1387.312#1387.732
533	зубы	зуб	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	532	obj	_	@fai1992m-words#@fai1992m#1387.732#1388.152
534	и	и	CCONJ	_	_	538	cc	_	@fai1992m-words#@fai1992m#1388.152#1388.482
535	/	/	PUNCT	_	_	538	punct	_	@fai1992m-words#@fai1992m#1388.482#1388.813
536	тромб	тромб	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	538	nsubj	_	@fai1992m-words#@fai1992m#1388.813#1389.144
537	/	/	PUNCT	_	_	536	punct	_	@fai1992m-words#@fai1992m#1389.144#1389.474
538	попал	попасть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	533	conj	_	@fai1992m-words#@fai1992m#1389.474#1389.805
539	в	в	ADP	_	_	585	case	_	@fai1992m-words#@fai1992m#1389.805#1390.136
540	легкое	легкий	ADJ	_	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing	542	amod	_	@fai1992m-words#@fai1992m#1390.136#1390.467
541	вот	вот	PART	_	_	556	advmod	_	@fai1992m-words#@fai1992m#1390.809#1391.626
542	эээ	эээ	INTJ	_		556	flat:foreign	_	@fai1992m-words#@fai1992m#1394.284#1394.6
543	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	545	nsubj	_	@fai1992m-words#@fai1992m#1394.6#1394.917
544	не	не	PART	_	_	545	advmod	_	@fai1992m-words#@fai1992m#1394.917#1395.234
545	мог	мочь	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	360	conj	_	@fai1992m-words#@fai1992m#1395.234#1395.55
546	ходить	ходить	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	556	csubj	_	@fai1992m-words#@fai1992m#1395.55#1395.867
547	и	и	CCONJ	_	_	548	cc	_	@fai1992m-words#@fai1992m#1395.867#1396.184
548	передвигаться	передвигаться	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Mid	546	conj	_	@fai1992m-words#@fai1992m#1396.184#1396.5
549	потому	потому	ADV	_	Degree=Pos	553	mark	_	@fai1992m-words#@fai1992m#1396.5#1396.817
550	что	что	SCONJ	_	_	549	fixed	_	@fai1992m-words#@fai1992m#1396.817#1397.134
551	у	у	ADP	_	_	552	case	_	@fai1992m-words#@fai1992m#1397.134#1397.451
552	него	он	PRON	_	Case=Gen|Gender=Masc|Number=Sing|Person=3	553	obl	_	@fai1992m-words#@fai1992m#1397.451#1397.767
553	была	быть	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	556	advcl	_	@fai1992m-words#@fai1992m#1397.767#1398.084
554	ну	ну	PART	_	_	556	parataxis	_	@fai1992m-words#@fai1992m#1398.084#1398.401
555	в	в	ADP	_	_	559	mark	_	@fai1992m-words#@fai1992m#1398.401#1398.717
556	можно	можно	PRED	_	Degree=Pos	545	advmod	_	@fai1992m-words#@fai1992m#1398.717#1399.034
557	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	559	parataxis	_	@fai1992m-words#@fai1992m#1399.034#1399.351
558	почти	почти	ADV	_	Degree=Pos	559	advmod	_	@fai1992m-words#@fai1992m#1399.351#1399.668
559	сломана	сломан	VERB	_	Aspect=Perf|Gender=Fem|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass	553	xcomp	_	@fai1992m-words#@fai1992m#1399.668#1399.984
560	нога	нога	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	559	obl	_	@fai1992m-words#@fai1992m#1399.984#1400.301
561	тип…	типа	INTJ	_		560	punct	_	@fai1992m-words#@fai1992m#1400.301#1400.618
562	и	и	CCONJ	_	_	563	cc	_	@fai1992m-words#@fai1992m#1400.618#1400.934
563	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	560	conj	_	@fai1992m-words#@fai1992m#1400.934#1401.251
564	только	только	PART	_	_	566	advmod	_	@fai1992m-words#@fai1992m#1401.251#1401.568
565	на	на	ADP	_	_	566	case	_	@fai1992m-words#@fai1992m#1401.568#1401.884
566	костылях	костыль	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Plur	560	nmod	_	@fai1992m-words#@fai1992m#1401.884#1402.201
567	еще	еще	ADV	_	Degree=Pos	568	advmod	_	@fai1992m-words#@fai1992m#1402.201#1402.518
568	эээ	эээ	INTJ	_		566	nmod	_	@fai1992m-words#@fai1992m#1402.518#1402.835
569	в	в	ADP	_	_	570	case	_	@fai1992m-words#@fai1992m#1402.835#1403.151
570	общем	общем	ADV	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	568	obl	_	@fai1992m-words#@fai1992m#1403.151#1403.468
571	/	/	PUNCT	_	_	570	punct	_	@fai1992m-words#@fai1992m#1403.468#1403.785
572	невозможно	невозможно	ADV	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	568	conj	_	@fai1992m-words#@fai1992m#1403.785#1404.101
573	было	быть	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	572	cop	_	@fai1992m-words#@fai1992m#1404.101#1404.418
574	особо	особо	ADV	_	Degree=Pos	575	advmod	_	@fai1992m-words#@fai1992m#1404.418#1404.735
575	передвигаться	передвигаться	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Mid	572	csubj	_	@fai1992m-words#@fai1992m#1404.735#1405.052
576	и	и	CCONJ	_	_	582	cc	_	@fai1992m-words#@fai1992m#1405.696#1406.008
577	вот	вот	PART	_	_	582	advmod	_	@fai1992m-words#@fai1992m#1406.008#1406.32
578	и	и	CCONJ	_	_	582	cc	_	@fai1992m-words#@fai1992m#1406.32#1406.632
579	вроде	вроде	ADV	_	Degree=Pos	582	parataxis	_	@fai1992m-words#@fai1992m#1406.632#1406.944
580	и	и	CCONJ	_	_	581	advmod	_	@fai1992m-words#@fai1992m#1406.944#1407.257
581	все	все	PRON	_	Animacy=Anim|Case=Nom|Number=Plur	582	nsubj	_	@fai1992m-words#@fai1992m#1407.257#1407.569
582	кололи	колоть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	575	conj	_	@fai1992m-words#@fai1992m#1407.569#1407.881
583	там	там	ADV	_	Degree=Pos	582	advmod	_	@fai1992m-words#@fai1992m#1407.881#1408.193
584	чё	что	scONJ	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	582	obj	_	@fai1992m-words#@fai1992m#1408.193#1408.506
585	надо	надо	ADV	_	Degree=Pos	538	obl	_	@fai1992m-words#@fai1992m#1408.506#1408.818
586	и	и	CCONJ	_	_	587	cc	_	@fai1992m-words#@fai1992m#1408.818#1409.13
587	противотромбные	противотромбный	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	582	conj	_	@fai1992m-words#@fai1992m#1409.13#1409.442
588	но	но	CCONJ	_	_	589	cc	_	@fai1992m-words#@fai1992m#1409.442#1409.755
589	ммм	ммм	INTJ	_		603	conj	_	@fai1992m-words#@fai1992m#1409.755#1410.067
590	вот	вот	PART	_	_	591	advmod	_	@fai1992m-words#@fai1992m#1410.067#1410.379
591	так	так	ADV	_	Degree=Pos	592	advmod	_	@fai1992m-words#@fai1992m#1410.379#1410.691
592	получилось	получиться	VERB	_	Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	589	acl:relcl	_	@fai1992m-words#@fai1992m#1410.691#1411.004
593	девятнадцать	девятнадцать	NUM	_	Case=Nom	592	nsubj	_	@fai1992m-words#@fai1992m#1411.393#1412.196
594	конечно	конечно	ADV	_	Degree=Pos	592	advmod	_	@fai1992m-words#@fai1992m#1415.629#1415.919
595	/	/	PUNCT	_	_	603	punct	_	@fai1992m-words#@fai1992m#1415.919#1416.209
596	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	603	nsubj	_	@fai1992m-words#@fai1992m#1416.209#1416.5
597	вот	вот	PART	_	_	600	advmod	_	@fai1992m-words#@fai1992m#1416.5#1416.79
598	за	за	ADP	_	_	600	case	_	@fai1992m-words#@fai1992m#1416.79#1417.081
599	два	два	NUM	_	Animacy=Inan|Case=Acc|Gender=Masc	600	nummod:gov	_	@fai1992m-words#@fai1992m#1417.081#1417.371
600	дня	день	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	603	obl	_	@fai1992m-words#@fai1992m#1417.371#1417.662
601	до	до	ADP	_	_	602	case	_	@fai1992m-words#@fai1992m#1417.662#1417.952
602	этого	это	DET	_	Case=Gen|Gender=Neut|Number=Sing	600	nmod	_	@fai1992m-words#@fai1992m#1417.952#1418.242
603	пообщались	пообщаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	587	conj	_	@fai1992m-words#@fai1992m#1418.242#1418.533
604	вот	вот	PART	_	_	605	advmod	_	@fai1992m-words#@fai1992m#1418.533#1418.823
605	иии	иии	INTJ	_		608	nsubj	_	@fai1992m-words#@fai1992m#1418.823#1419.114
606	ну	ну	PART	_	_	608	parataxis	_	@fai1992m-words#@fai1992m#1419.114#1419.404
607	вот	вот	PART	_	_	608	advmod	_	@fai1992m-words#@fai1992m#1419.404#1419.695
608	виделись	видеть	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	603	conj	_	@fai1992m-words#@fai1992m#1419.695#1419.985
609	/	/	PUNCT	_	_	612	punct	_	@fai1992m-words#@fai1992m#1419.985#1420.275
610	тусова…	тусоваться	VERB	_	_	612	punct	_	@fai1992m-words#@fai1992m#1420.275#1420.566
611	не	не	PART	_	_	612	advmod	_	@fai1992m-words#@fai1992m#1420.566#1420.856
612	тусовались	тусоваться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	608	conj	_	@fai1992m-words#@fai1992m#1420.856#1421.147
613	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	614	nsubj	_	@fai1992m-words#@fai1992m#1421.147#1421.437
614	сидел	сидеть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	612	conj	_	@fai1992m-words#@fai1992m#1421.437#1421.728
615	у	у	ADP	_	_	616	case	_	@fai1992m-words#@fai1992m#1421.728#1422.018
616	него	он	PRON	_	Case=Gen|Gender=Masc|Number=Sing|Person=3	614	obl	_	@fai1992m-words#@fai1992m#1422.018#1422.308
617	дома	дом 	NOUN	_	Degree=Pos	618	advmod	_	@fai1992m-words#@fai1992m#1422.308#1422.599
618	играл	играть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	614	conj	_	@fai1992m-words#@fai1992m#1422.599#1422.889
619	там	там	ADV	_	Degree=Pos	618	advmod	_	@fai1992m-words#@fai1992m#1422.889#1423.18
620	в	в	ADP	_	_	621	case	_	@fai1992m-words#@fai1992m#1423.18#1423.47
621	компьютер	компьютер	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	618	obl	_	@fai1992m-words#@fai1992m#1423.47#1423.761
622	все	весь	DET	_	Case=Acc|Number=Plur	624	det	_	@fai1992m-words#@fai1992m#1423.761#1424.051
623	такое	такой	PRON	_	Case=Nom|Gender=Neut|Number=Sing	624	det	_	@fai1992m-words#@fai1992m#1424.051#1424.342
624	ммм	ммм	INTJ	_		629	obj	_	@fai1992m-words#@fai1992m#1427.614#1427.965
625	очень	очень	ADV	_	Degree=Pos	626	advmod	_	@fai1992m-words#@fai1992m#1427.965#1428.317
626	жестко	жестко	ADV	_	Degree=Pos	629	advmod	_	@fai1992m-words#@fai1992m#1428.317#1428.668
627	/	/	PUNCT	_	_	626	punct	_	@fai1992m-words#@fai1992m#1428.668#1429.02
628	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	629	iobj	_	@fai1992m-words#@fai1992m#1429.02#1429.371
629	кажется	казаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	618	parataxis	_	@fai1992m-words#@fai1992m#1429.371#1429.723
630	/	/	PUNCT	_	_	632	punct	_	@fai1992m-words#@fai1992m#1429.723#1430.074
631	ну	ну	PART	_	_	632	parataxis	_	@fai1992m-words#@fai1992m#1430.074#1430.426
632	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	629	nsubj	_	@fai1992m-words#@fai1992m#1430.426#1430.777
633	/	/	PUNCT	_	_	639	punct	_	@fai1992m-words#@fai1992m#1430.777#1431.129
634	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	639	nsubj	_	@fai1992m-words#@fai1992m#1431.129#1431.48
